,Impulsivity,Reckless_behaviour,Blurting,Interrupting,Talkative,Difficulty_delaying_gratification,Difficulty_waiting_turn,Misjudged_time,Inattention,Fidgety,Restless,Difficulty_concentrating,Needed_deadlines,Irritable,Impatient,Stubborn,Bored,Difficulty_sleeping,Checking_for_mistakes,Difficult_to_touch_rubbish,Contamination_concerns,Performed_rituals,Compulsions_1,Checking,Try_to_prevent_harm,Checking_so_nothing_terrible_would_happen,Rituals_for_protection,Fear_of_mistakes,Perfectionism,Responsibility_to_ensure_everything_was_in_order,Very_strict_with_self,One_right_way_to_do_things,Upsetting_thoughts,Obsessive_thoughts,Compulsions_2,Fear_of_acting_on_compulsions,Guilt_about_obsessions,Thoughts_would_harm_other_people_unintentionally,Having_upsetting_thought_made_it_more_likely_to_happen,Repeat_words_to_stop_obsessions,Need_for_order,Strict_routine_doing_ordinary_things,Do_everything_exactly_right_leaving_home,Got_stuck_doing_routine_behaviours,Suicidal_ideation,Intrusive_thoughts_about_self_harm,Suicidal_ideation_and_plans,Told_someone_about_suicidality,Fear_of_fear,Sought_help_for_panic,Rush_of_fear_and_related_impairment,Fear_of_specific_situations,Claustrophobia,Safety_zone,Thought_might_be_dying,Afraid_of_physical_symptoms,Frightened_by_nausea,Fear_of_loss_of_control,Disconnected_or_detached,Racing_or_pounding_heart,Trembling,Feeling_anxious_,Fear,Avoidance_of_social_situations_1,Avoid_disagreeing_with_others,Concerns_about_being_observed_public_speaking,Tension_headaches_before_social_situations,Angry,Bad_temper,Guilt_about_anger,Felt_like_breaking_things,Anger_fixation,Resentful,Guilt_and_low_self_worth,Envy,Hostile,Loss_of_control_of_drinking,Using_larger_amounts_of_alcohol_than_intended,Fast_drinking_for_quick_effect,Drank_for_negative_affect,Drank_because_nothing_to_do,Drank_because_angry_with_self,Drank_because_lonely,Drank_because_annoyed,Drank_because_tense,Drank_because_of_physical_pain,Large_amounts_of_time_drinking,Used_drugs_to_get_high,Time_recovering_from_drugs,Drank_because_deserved_it,Drank_to_unwind,Depressed_mood,Felt__attacked,Paranoia__people_are_against_them_,Thoughts_of_people_trying_to_upset_deliberately,Olfactory_hallucination,Sense_of_unreality,Sense_of_danger_or_dread,Something_seriously_wrong_with_body,Lights_or_colours_seemed_brighter,Paranormal_experiences,Thought_insertion,Doubted_dreams_were_the_product_of_own_mind,Thought_broadcasting,Someone_something_playing_games_with_mind,Felt_part_of_body_did_not_belong,Paranoia__people_want_to_hurt_them,Paranoia__being_followed_or_observed,Auditory_hallucinations,Mistook_noises_for_voices,Ideas_of_reference,Special_powers,Felt_was_very_special,Had_a_sixth_sense,Heard_voices,Anxious_arousal_due_to_trauma,Dysphoria_due_to_trauma,Avoidance_of_cues_and_emotional_detachment,Self_blame_for_trauma,Trauma_amnesia,Reexperiencing_trauma,Social_interaction_concerns,Role_and_relationship_impairment_from_drug_use,Relationship_friction_around_drug_use,Urge_to_use_drugs,Money_problems_due_to_drug_use,Used_drugs_in_hazardous_situations,Prioritising_drug_use,Dependence_on_drugs,Withdrawal_from_drugs,Had_to_keep_taking_drugs_once_started,Used_drugs_after_deciding_not_to,Tolerance_to_drugs,More_drugs_than_intended_and_despite_psychological_problems,Suicidal_plans,Hopelessness,Suicidal_thoughts__better_off_dead,Unafraid_of_dying,Worry_about_panic,Fear_of_leaving_the_house_alone,Nervous_or_anxious,Panic_episode,Afraid_would_have_a_heart_attack_stroke_suffocate_or_die,Chest_pain,Felt_could_not_breathe,Dizzy_or_lightheaded,Feared_fainting,Avoidance_of_social_situations_2,Avoidance_of_crowded_places,Fear_of_negative_evaluation,Fear_of_being_centre_of_attention,Drinking_large_amounts,Felt_should_cut_down_drinking,Anhedonia,Felt_like_a_failure
Impulsivity,1,0.541511545,0.617276194,0.533452231,0.485774105,0.515040584,0.509368803,0.482504441,0.647875823,0.493849589,0.538310144,0.58071715,0.414242409,0.383588406,0.520110325,0.377231976,0.486028838,0.339913421,0.368873517,0.198447588,0.243938602,0.241054186,0.323744558,0.243369143,0.266897362,0.243905691,0.211613921,0.37977255,0.322496155,0.260981247,0.252035631,0.292450901,0.414218301,0.334628776,0.286170004,0.402434322,0.293264142,0.228895697,0.295143493,0.248084601,0.277254547,0.25425115,0.246958284,0.285461875,0.290375101,0.276482656,0.314985254,0.19075765,0.318150478,0.205929704,0.390783718,0.353587453,0.240151097,0.265475311,0.307342604,0.319161603,0.243963858,0.380090477,0.341356691,0.319912962,0.308934907,0.39801677,0.414889001,0.36250969,0.316942212,0.412486727,0.26992391,0.374715381,0.348209402,0.287667548,0.31250647,0.394095447,0.430827243,0.392895612,0.302286874,0.407533774,0.259979772,0.235101822,0.220685607,0.250217121,0.257358664,0.238854247,0.223403748,0.244958508,0.235121452,0.176456748,0.239548982,0.262524797,0.265387996,0.174399536,0.165507344,0.404484506,0.196051244,0.381741587,0.262869244,0.158509546,0.308674001,0.263151561,0.285260416,0.241996167,0.29567794,0.228697093,0.203404197,0.28359082,0.227981034,0.165463433,0.258772556,0.286418308,0.210624893,0.174566114,0.194185709,0.246266927,0.259198618,0.238312348,0.220684425,0.299365744,0.29177117,0.309415812,0.253520463,0.261353489,0.298041529,0.377108321,0.344456718,0.233289488,0.261335621,0.214268386,0.190707756,0.249957355,0.253816025,0.13387618,0.23175628,0.225844673,0.219048799,0.264185455,0.28757258,0.364564194,0.355902804,0.246611213,0.283097413,0.246240418,0.299311062,0.356157658,0.248529885,0.269677404,0.30513513,0.274980972,0.223083751,0.317720451,0.313814424,0.391156616,0.359012121,0.216918398,0.17698759,0.370990295,0.336143282
Reckless_behaviour,0.541511545,1,0.478373065,0.380965779,0.347111291,0.456242832,0.429714134,0.396956702,0.511956487,0.408138796,0.438652081,0.467698731,0.327407657,0.347014398,0.413700142,0.362216455,0.435737027,0.308931318,0.319426095,0.198456876,0.219407814,0.236106326,0.323053752,0.217066095,0.263706347,0.236448712,0.190251038,0.348753969,0.271503255,0.201418307,0.232432043,0.26083496,0.392161853,0.317907771,0.314869975,0.414975152,0.301012571,0.305305352,0.319177914,0.293726042,0.263680726,0.245706725,0.264689009,0.251568039,0.314169245,0.345638206,0.347483118,0.23288292,0.312187964,0.216651301,0.365640282,0.340259282,0.208429948,0.24102352,0.310832779,0.309253492,0.255994653,0.402875042,0.335213091,0.299945884,0.316952849,0.359518759,0.374351899,0.341077799,0.284133185,0.373859796,0.284128339,0.361706296,0.342972821,0.27324647,0.355813483,0.36646794,0.39779496,0.377863363,0.303491541,0.321170809,0.33723388,0.337245989,0.334873176,0.31877155,0.32674425,0.325434453,0.295017819,0.308155691,0.297965961,0.242377624,0.319262212,0.31843162,0.326942574,0.23038245,0.180205344,0.38252663,0.25079015,0.363803164,0.27605779,0.15764259,0.331376337,0.272063772,0.259152492,0.246466196,0.288348731,0.237213719,0.242702827,0.314631431,0.232480423,0.207652302,0.273674663,0.311444934,0.236018954,0.221486625,0.209517213,0.23881313,0.263779021,0.1732041,0.261515584,0.268596216,0.272533971,0.28628767,0.263276265,0.288591339,0.277077624,0.352030212,0.391002617,0.272375735,0.320285468,0.261182809,0.270687006,0.321240317,0.306539764,0.183193817,0.308481884,0.309934923,0.261857886,0.347077125,0.337482063,0.363916675,0.359710871,0.217005831,0.283644906,0.260503667,0.279396326,0.342303459,0.243279973,0.280380014,0.308420145,0.268457552,0.240142635,0.290252139,0.29175958,0.365844387,0.333093677,0.334678287,0.247843337,0.357157456,0.341798678
Blurting,0.617276194,0.478373065,1,0.642808371,0.561030394,0.544725764,0.574727181,0.492290707,0.679691018,0.538774392,0.534285287,0.610403595,0.431787488,0.444892932,0.549594402,0.397798352,0.496024122,0.388665016,0.437460947,0.232332141,0.261826902,0.25360952,0.384291985,0.282350855,0.32875852,0.292875442,0.253129737,0.467021364,0.370034749,0.292108716,0.310512106,0.308479494,0.473308658,0.379588124,0.316628646,0.434265833,0.367046961,0.285585918,0.356746452,0.307495343,0.357415499,0.303342261,0.281671595,0.31436122,0.311542666,0.300877162,0.32184726,0.210598442,0.394238583,0.27047525,0.462790664,0.426108826,0.282659844,0.314467136,0.358833092,0.37747829,0.308184053,0.450357522,0.407338427,0.376414523,0.36649736,0.489603707,0.510194172,0.4247297,0.350135204,0.475010796,0.356746971,0.429113123,0.386918875,0.359070966,0.352671778,0.450601132,0.4783799,0.463945807,0.35147617,0.43386688,0.230164664,0.206344229,0.233936489,0.241304625,0.229027571,0.249525408,0.190699424,0.251892705,0.248202284,0.173020912,0.191845883,0.264030544,0.236594473,0.165500516,0.124621195,0.458458399,0.242583413,0.446320721,0.307325452,0.22515127,0.35530192,0.33015158,0.285705459,0.271267658,0.308945978,0.238676351,0.246482451,0.333671887,0.244812234,0.183557598,0.274999511,0.30398289,0.243891967,0.210863679,0.22860773,0.24012386,0.265612099,0.224142044,0.245262708,0.375440928,0.36589877,0.367431001,0.322760983,0.302084329,0.370278128,0.441439143,0.315116186,0.255260008,0.276433012,0.236861788,0.198850714,0.233701134,0.311905776,0.171000456,0.216166967,0.245491383,0.272943355,0.307217215,0.280788539,0.403577764,0.376685887,0.213163588,0.350275151,0.284984497,0.361288816,0.419383849,0.297242963,0.310892772,0.341569487,0.32290516,0.276603358,0.368107871,0.361615946,0.467618152,0.412744247,0.186332203,0.145483567,0.414434619,0.399175475
Interrupting,0.533452231,0.380965779,0.642808371,1,0.584287993,0.456477525,0.567030946,0.43853106,0.602084372,0.443140528,0.464803007,0.526386819,0.391432137,0.384829722,0.515318351,0.367232966,0.443962898,0.323989052,0.366640657,0.183203419,0.2294392,0.202367847,0.299886371,0.221371086,0.267787207,0.212064876,0.187886487,0.386595454,0.333874391,0.267670283,0.267435266,0.272194689,0.364386303,0.31301476,0.239583273,0.319479334,0.273358064,0.208832998,0.279982074,0.225928908,0.269093059,0.23874109,0.245557097,0.248875843,0.235415394,0.211722043,0.236140334,0.151777877,0.292730416,0.180086256,0.347960028,0.312171651,0.232370642,0.236073237,0.269799945,0.278196043,0.225325825,0.338992287,0.320342754,0.286986575,0.270444845,0.369434615,0.380933324,0.322351149,0.286427524,0.374985793,0.259758341,0.36769537,0.347032061,0.296749357,0.264920475,0.379801288,0.418545316,0.36270496,0.296616201,0.430902308,0.188634861,0.159636039,0.165929356,0.185478385,0.179256049,0.174769868,0.136547894,0.186306244,0.196818053,0.129769551,0.124257942,0.15315476,0.15787434,0.14458662,0.115768579,0.349384501,0.173686955,0.347702004,0.21996154,0.177846323,0.259592232,0.236875964,0.226105031,0.205830004,0.219678311,0.15447352,0.169957371,0.225132469,0.186129863,0.115464341,0.193620817,0.223293622,0.174093655,0.16082159,0.14340735,0.190498016,0.223141925,0.177826014,0.168432094,0.278990028,0.274973765,0.272590235,0.240556579,0.231455293,0.269454253,0.340038319,0.210880609,0.157187325,0.17694925,0.169278368,0.127306338,0.152826706,0.235640542,0.127343313,0.175586002,0.155225363,0.165516566,0.209190096,0.202925054,0.29054327,0.281906916,0.15174128,0.246185737,0.211088174,0.278230926,0.307871019,0.254481804,0.247254001,0.256145669,0.261230924,0.219493721,0.283061132,0.265614836,0.373140664,0.314621961,0.127090935,0.126028101,0.31628315,0.295104592
Talkative,0.485774105,0.347111291,0.561030394,0.584287993,1,0.410753102,0.453886441,0.384764157,0.534950374,0.388693717,0.435498673,0.475981231,0.37630406,0.330763002,0.424013082,0.306508187,0.387518534,0.314327413,0.329082281,0.128871368,0.167955743,0.191922881,0.262400879,0.203511439,0.23234209,0.209777608,0.17740015,0.34041163,0.283239851,0.217380292,0.230408202,0.222468468,0.332528775,0.257340035,0.194744873,0.282959084,0.230659858,0.20288547,0.236152032,0.201212196,0.243160832,0.190386741,0.214264781,0.214995639,0.223265973,0.197927697,0.240842422,0.1519575,0.27314908,0.181286602,0.333196378,0.30461433,0.217711611,0.204004937,0.256349821,0.264979204,0.197555585,0.304552669,0.281788766,0.275045513,0.253209393,0.35328811,0.358143676,0.302393641,0.259816327,0.350180744,0.26393353,0.313602297,0.287629873,0.271980199,0.242178738,0.324460641,0.350055745,0.353082001,0.25825382,0.348953728,0.175682221,0.147585165,0.149869511,0.177717278,0.149522466,0.155533899,0.150466257,0.14317996,0.157445919,0.132511117,0.11384261,0.17222823,0.16436828,0.146711019,0.094988763,0.338314562,0.153683124,0.338533415,0.206653487,0.153353091,0.247017568,0.240797944,0.221725931,0.203108318,0.196517735,0.133682868,0.152731139,0.19548178,0.165138875,0.11025377,0.190124581,0.188500258,0.167675186,0.14368524,0.139970405,0.179011893,0.210603072,0.171840026,0.136934699,0.287931921,0.271228501,0.290604987,0.236926497,0.228229795,0.285041764,0.312209586,0.19369577,0.196434143,0.156469518,0.135242248,0.087688975,0.112167491,0.200055881,0.093739051,0.099510185,0.10269219,0.160752775,0.194180066,0.213236761,0.29212902,0.281546797,0.17327174,0.229662832,0.191017552,0.261464343,0.29769689,0.238276443,0.227445488,0.236213229,0.22890638,0.212145757,0.262531579,0.259447104,0.362053392,0.290098401,0.134813381,0.122112069,0.295328932,0.286777119
Difficulty_delaying_gratification,0.515040584,0.456242832,0.544725764,0.456477525,0.410753102,1,0.485296283,0.490110482,0.609073328,0.463612553,0.442869534,0.606928152,0.471478353,0.393182466,0.484915845,0.369226671,0.47109041,0.358269428,0.3527086,0.209654763,0.222341815,0.225682211,0.331799137,0.231182363,0.271314657,0.242387055,0.203175165,0.425398157,0.308462942,0.217796546,0.261894085,0.282966242,0.437465887,0.353415251,0.313925697,0.391184969,0.332016962,0.256271343,0.335285936,0.2694229,0.284728483,0.248948723,0.282935119,0.284549888,0.327317918,0.298325815,0.340159258,0.202052055,0.320765663,0.209575564,0.426564515,0.376522779,0.223715714,0.272343305,0.298395339,0.335692643,0.270748055,0.392708408,0.374099355,0.318741494,0.314942217,0.463912555,0.451955059,0.416965289,0.354073026,0.465318758,0.321609387,0.391291695,0.339098072,0.316428635,0.333143484,0.398423159,0.441611237,0.460691917,0.355648462,0.375211527,0.260138713,0.227099123,0.238441936,0.25579399,0.227331475,0.265279324,0.219647821,0.234059261,0.264737868,0.165160671,0.176396329,0.176334435,0.227985036,0.17531749,0.120733403,0.462855141,0.221022378,0.370031552,0.23441786,0.163489885,0.294378229,0.280438089,0.265241172,0.232153282,0.237168536,0.199861547,0.182192346,0.277834516,0.180939079,0.171748996,0.214264674,0.249159759,0.198426529,0.199768018,0.184109298,0.19962421,0.232046796,0.145159551,0.205492314,0.281441999,0.26025967,0.288859417,0.260206904,0.244648185,0.259594242,0.435889684,0.285333111,0.202328368,0.229072709,0.215040934,0.123006504,0.230598407,0.268713298,0.145456686,0.191539681,0.205188847,0.226114683,0.267783589,0.265516857,0.407710949,0.382364818,0.221138916,0.280535594,0.237505512,0.349253109,0.366943087,0.239645487,0.251857455,0.297462115,0.263841481,0.2223767,0.36280677,0.339375232,0.443109974,0.399222763,0.197906644,0.161801569,0.434278915,0.403484026
Difficulty_waiting_turn,0.509368803,0.429714134,0.574727181,0.567030946,0.453886441,0.485296283,1,0.451803808,0.604060911,0.500879461,0.502817963,0.545898033,0.382644159,0.425416001,0.556960593,0.418277514,0.502494546,0.356997787,0.388025608,0.226744512,0.258094128,0.242646233,0.328716482,0.272166858,0.284663451,0.237399732,0.199564321,0.402156169,0.356384374,0.269547659,0.294101108,0.31665441,0.410690428,0.341963823,0.283963458,0.35076714,0.300036139,0.256369687,0.308790064,0.279332212,0.322802086,0.295093069,0.27787176,0.313771071,0.261101193,0.271760109,0.272229657,0.165146546,0.34627517,0.240922917,0.402129525,0.397366436,0.288499017,0.287943557,0.298158956,0.323798702,0.280104402,0.385917179,0.353926994,0.313624759,0.312064861,0.423660913,0.441934933,0.38234339,0.319444339,0.423900908,0.324210042,0.427783295,0.402823606,0.325795423,0.357541803,0.430709413,0.4609737,0.387510755,0.326826727,0.432680657,0.204820175,0.195452668,0.206814265,0.222831576,0.200120038,0.22317241,0.171595151,0.225142153,0.231971168,0.128868143,0.1681237,0.152069973,0.180556019,0.172535253,0.103759872,0.396035558,0.212172533,0.356669035,0.264241689,0.172098549,0.286727992,0.239683598,0.217323905,0.220109799,0.223016141,0.179890053,0.213451413,0.270106261,0.192560127,0.162664242,0.226778127,0.236653404,0.191796423,0.176143772,0.192046074,0.183101096,0.230446411,0.143893379,0.194474366,0.29958216,0.294122968,0.314333498,0.269782954,0.25828389,0.294440568,0.402437643,0.206868173,0.211441438,0.216540435,0.171964568,0.127351464,0.183033626,0.204979866,0.105521672,0.164561064,0.130572309,0.179604604,0.199982393,0.244543985,0.336651669,0.310904143,0.158745283,0.31863582,0.267720351,0.307553347,0.354265656,0.263697418,0.270812187,0.315149974,0.294578344,0.261961348,0.33231906,0.334370849,0.410770104,0.368184837,0.157437399,0.126991336,0.368527144,0.344990579
Misjudged_time,0.482504441,0.396956702,0.492290707,0.43853106,0.384764157,0.490110482,0.451803808,1,0.667226673,0.467275543,0.425952731,0.666907661,0.4890886,0.387789528,0.493689936,0.338999589,0.410691496,0.394562875,0.393356909,0.202761589,0.242404996,0.202130885,0.335150636,0.237183158,0.274780362,0.243016348,0.199712856,0.391612736,0.327867055,0.22620884,0.253161392,0.275340612,0.410564914,0.311245974,0.274401379,0.371066235,0.298161497,0.227111056,0.300405475,0.266584461,0.298530011,0.24225959,0.274937971,0.313779255,0.293621142,0.290287965,0.311079822,0.181619234,0.339289417,0.236564453,0.41359848,0.378169259,0.22147384,0.284785094,0.305577125,0.362711625,0.271467088,0.38718676,0.377694908,0.348705817,0.3553404,0.44291029,0.446401662,0.41250223,0.359019549,0.446243002,0.339893526,0.363385989,0.310857984,0.293086971,0.303496813,0.363957361,0.387093795,0.439154477,0.307254929,0.347092743,0.164899251,0.160035149,0.161608279,0.187716762,0.154824336,0.160706806,0.138206423,0.165741967,0.198692196,0.11816425,0.127769118,0.206337749,0.228213426,0.117306705,0.062910211,0.440194315,0.204253739,0.368101555,0.251704796,0.191202703,0.332998148,0.31115588,0.281538733,0.272805207,0.256620889,0.215548993,0.191419392,0.277049448,0.227613369,0.185219762,0.251835078,0.280976095,0.23992499,0.227874419,0.170844747,0.186156768,0.208751536,0.169023841,0.234201125,0.284918761,0.26689547,0.287152263,0.255293013,0.251702034,0.275647593,0.429878947,0.271960907,0.225143645,0.206121094,0.211158135,0.156089286,0.219272965,0.225272975,0.147406077,0.199739296,0.179200457,0.220274339,0.265740199,0.27861046,0.395262903,0.359058954,0.234066169,0.31701692,0.271495939,0.331753785,0.37364418,0.247790959,0.313159145,0.313347158,0.314128451,0.238588843,0.358821644,0.344190251,0.419374227,0.412997832,0.119588118,0.069896569,0.418596895,0.37190137
Inattention,0.647875823,0.511956487,0.679691018,0.602084372,0.534950374,0.609073328,0.604060911,0.667226673,1,0.688585929,0.609038919,0.896188741,0.614455676,0.588033673,0.711930432,0.488872728,0.613032807,0.585011064,0.528323735,0.272017572,0.302192632,0.287405594,0.435263272,0.316305921,0.381095461,0.323959725,0.260009112,0.581127939,0.449633306,0.335294953,0.380096775,0.371748718,0.6171783,0.459430552,0.344501894,0.508451476,0.434882238,0.321624698,0.420630075,0.3632571,0.412603316,0.348630471,0.326119766,0.375683384,0.441207728,0.406779901,0.455817422,0.268382497,0.505571315,0.312012712,0.610051288,0.549963306,0.363041722,0.391932786,0.428567926,0.473240082,0.376107995,0.565149218,0.555376597,0.504678935,0.490255023,0.681669624,0.65807951,0.616877041,0.525014174,0.661333382,0.490188503,0.538561058,0.455920917,0.429424056,0.426592196,0.547781202,0.57918628,0.638761222,0.434265226,0.48272014,0.271343317,0.229751004,0.247351721,0.298092464,0.236256648,0.275674259,0.224795612,0.252370517,0.300296894,0.184880764,0.197255629,0.253738256,0.262275184,0.188210868,0.127935379,0.659339266,0.279576994,0.522668862,0.339269214,0.233328161,0.430795599,0.400392669,0.369122546,0.334538064,0.341634734,0.269430147,0.241447072,0.389082758,0.278675255,0.227460444,0.323023638,0.36108108,0.298267548,0.265863655,0.238849777,0.230958336,0.257178977,0.197166047,0.299197511,0.412083728,0.408049338,0.426783324,0.366264152,0.350544887,0.423995218,0.643448298,0.328054026,0.249711328,0.26934926,0.231486167,0.192019128,0.241111673,0.30600907,0.172248485,0.222754118,0.231470122,0.271485169,0.318451491,0.397921169,0.586911685,0.5339154,0.295255577,0.446950259,0.381526173,0.52776178,0.547146516,0.351222033,0.408217354,0.43960213,0.429121876,0.323527634,0.541120909,0.510442175,0.626920782,0.604817275,0.201236789,0.145788089,0.62411754,0.567386411
Fidgety,0.493849589,0.408138796,0.538774392,0.443140528,0.388693717,0.463612553,0.500879461,0.467275543,0.688585929,1,0.632186983,0.663319439,0.412160945,0.5104494,0.565783972,0.442455621,0.545421811,0.525523983,0.454861546,0.265038955,0.294348348,0.276009252,0.409254354,0.315324348,0.319933646,0.307245046,0.240059836,0.484875483,0.404005405,0.291834584,0.344576505,0.319667919,0.506072694,0.390453417,0.314883422,0.424854342,0.350724202,0.267092634,0.360233352,0.316186822,0.399454343,0.33270281,0.319178139,0.352266581,0.34326732,0.350545036,0.369954073,0.230608576,0.465184929,0.288850197,0.536684298,0.516383411,0.35083548,0.359703575,0.374502719,0.418459638,0.34112376,0.481245305,0.466489621,0.479854897,0.507553392,0.621082947,0.604252809,0.505610376,0.41216905,0.547175588,0.433819635,0.474791313,0.401838733,0.362324254,0.398222203,0.46064223,0.469529085,0.526192405,0.365083906,0.391095701,0.207936082,0.166737197,0.210148243,0.263426952,0.203797571,0.241089557,0.197844395,0.236581916,0.261007803,0.163722282,0.167679232,0.179676989,0.182757368,0.137495113,0.098697648,0.538756206,0.226101302,0.410556733,0.282423596,0.20309246,0.368344096,0.323108514,0.283563349,0.29320638,0.288340156,0.245865225,0.216347331,0.330190063,0.24410712,0.205955727,0.258668731,0.304525034,0.262202492,0.230955706,0.200415677,0.196209158,0.212146506,0.151624843,0.2553808,0.366304105,0.33968711,0.374246313,0.291903777,0.297046882,0.345283435,0.532113915,0.252337759,0.21886622,0.223340642,0.160705509,0.173563469,0.193277286,0.252478594,0.123753878,0.214920862,0.179295394,0.219504246,0.250688708,0.321262169,0.44657798,0.40413938,0.207033457,0.419345771,0.355831342,0.48393909,0.495548823,0.292566252,0.364062503,0.405915166,0.391776244,0.31293306,0.44703543,0.445713044,0.508148352,0.507059027,0.148306092,0.098187246,0.512320138,0.465601122
